id,sezione,valore_nel_documento,file,filtro,colonna,aggregazione,arrotondamento
T78.12,5bis,40%,analytics/test/run_1/naive.csv,technique == 'smote_nc' & model != 'dummy' & threshold == 0.5,recall,mean,0
T78.13,5bis,65%,analytics/test/run_1/naive.csv,technique == 'undersampling' & model != 'dummy' & threshold == 0.5,recall,mean,0
T80.01,5bis,"0,95",analytics/test/run_1/calibration.csv,technique == 'none' & probabilities == 'grezza' & group == 'tutti',oe_ratio,min,2
T80.02,5bis,"0,97",analytics/test/run_1/calibration.csv,technique == 'none' & probabilities == 'grezza' & group == 'tutti',oe_ratio,max,2
T80.03,5bis,"1,27",analytics/test/run_1/calibration.csv,technique == 'none' & probabilities == 'grezza' & group == 'tutti' & model == 'random_forest',slope,value,2
T80.04,5bis,"0,79",analytics/test/run_1/calibration.csv,technique == 'none' & probabilities == 'grezza' & group == 'tutti' & model == 'lr_penalized',slope,value,2
T81.01,5bis,23,analytics/test/run_1/primary_comparison.csv,model == 'lr_scored' & technique == 'class_weight',severe_n,value,0
T81.02,5bis,88,analytics/test/run_1/q1_discrimination.csv,technique == 'fase_a' & model == 'lr_scored' & group == 'diabetici',n,value,0
T82.01,6,"0,80",analytics/phase_d/label_quality.csv,analysis == 'componente: eGFR < 60',auc,min,2
T82.02,6,"0,86",analytics/phase_d/label_quality.csv,analysis == 'componente: eGFR < 60',auc,max,2
T82.03,6,"0,67",analytics/phase_d/label_quality.csv,analysis == 'componente: solo albuminuria',auc,min,2
T82.04,6,"0,69",analytics/phase_d/label_quality.csv,analysis == 'componente: solo albuminuria',auc,max,2
T82.05,6,362,analytics/phase_d/label_quality.csv,model == 'lr_penalized' & analysis == 'componente: solo albuminuria',positives,value,0
T82.06,6,425,analytics/phase_d/label_quality.csv,model == 'lr_penalized' & analysis == 'tutte le giornate',positives,value,0
T83.01,6,"0,692",analytics/phase_d/discrimination.csv,role == 'candidato',auc,min,3
T83.02,6,"0,710",analytics/phase_d/discrimination.csv,role == 'candidato',auc,max,3
T85.01,6,"0,933",analytics/phase_d/discrimination.csv,model == 'positive_control',auc,value,3
T88.01,6,"0,70",analytics/phase_a/evaluation/q1_discrimination.csv,feature_set == 'main' & model == 'random_forest',auc,value,2
T88.02,6,"0,71",analytics/phase_d/discrimination.csv,model == 'tabpfn',auc,value,2
T91.01,6bis,"0,933",analytics/phase_d/discrimination.csv,model == 'positive_control',auc,value,3
T91.02,6bis,"0,75",analytics/phase_d/semi_synthetic_control.csv,target_auroc == 0.75,z_auc,value,2
T91.03,6bis,"0,80",analytics/phase_d/semi_synthetic_control.csv,target_auroc == 0.8,z_auc,value,2
T91.04,6bis,"0,795",analytics/phase_d/semi_synthetic_control.csv,target_auroc == 0.75,oof_auc,value,3
T91.05,6bis,"0,771",analytics/phase_d/semi_synthetic_control.csv,target_auroc == 0.75,oof_auc_low,value,3
T91.06,6bis,"0,818",analytics/phase_d/semi_synthetic_control.csv,target_auroc == 0.75,oof_auc_high,value,3
T91.07,6bis,"0,831",analytics/phase_d/semi_synthetic_control.csv,target_auroc == 0.8,oof_auc,value,3
T91.08,6bis,"0,809",analytics/phase_d/semi_synthetic_control.csv,target_auroc == 0.8,oof_auc_low,value,3
T91.09,6bis,"0,853",analytics/phase_d/semi_synthetic_control.csv,target_auroc == 0.8,oof_auc_high,value,3
T91.10,6bis,"0,696",analytics/phase_d/semi_synthetic_control.csv,target_auroc == 0.75,reference_auc,value,3
T92.01,6bis,"0,645",analytics/phase_d/label_noise_auroc.csv,analysis == 'fascia ACR 30-45',auc,min,3
T92.02,6bis,"0,682",analytics/phase_d/label_noise_auroc.csv,analysis == 'fascia ACR 30-45',auc,max,3
T92.03,6bis,"0,675",analytics/phase_d/label_noise_auroc.csv,analysis == 'fascia ACR 45-100',auc,min,3
T92.04,6bis,"0,684",analytics/phase_d/label_noise_auroc.csv,analysis == 'fascia ACR 45-100',auc,max,3
T92.05,6bis,"0,698",analytics/phase_d/label_noise_auroc.csv,analysis == 'fascia ACR 100-300',auc,min,3
T92.06,6bis,"0,718",analytics/phase_d/label_noise_auroc.csv,analysis == 'fascia ACR 100-300',auc,max,3
T92.07,6bis,"0,758",analytics/phase_d/label_noise_auroc.csv,analysis == 'fascia ACR 300-inf',auc,min,3
T92.08,6bis,"0,790",analytics/phase_d/label_noise_auroc.csv,analysis == 'fascia ACR 300-inf',auc,max,3
T93.01,6bis,"0,696",analytics/phase_d/label_noise_auroc.csv,analysis == 'tutti',auc,min,3
T93.02,6bis,"0,710",analytics/phase_d/label_noise_auroc.csv,analysis == 'tutti',auc,max,3
T93.03,6bis,"0,701",analytics/phase_d/label_noise_auroc.csv,analysis == 'casi netti (zona grigia 17.7-35.4 esclusa)',auc,min,3
T93.04,6bis,"0,717",analytics/phase_d/label_noise_auroc.csv,analysis == 'casi netti (zona grigia 17.7-35.4 esclusa)',auc,max,3
T93.05,6bis,"+0,005",analytics/phase_d/label_noise_auroc.csv,analysis == 'casi netti (zona grigia 17.7-35.4 esclusa)' & model == 'xgboost';;analysis == 'tutti' & model == 'xgboost',auc,diff,3
T93.06,6bis,"+0,009",analytics/phase_d/label_noise_auroc.csv,analysis == 'casi netti (zona grigia 17.7-35.4 esclusa)' & model == 'lr_penalized';;analysis == 'tutti' & model == 'lr_penalized',auc,diff,3
T94.01,6bis,"0,696",analytics/phase_d/label_noise_auroc.csv,analysis == 'coppie della stessa giornata',auc,min,3
T94.02,6bis,"0,711",analytics/phase_d/label_noise_auroc.csv,analysis == 'coppie della stessa giornata',auc,max,3
T94.03,6bis,"−0,002",analytics/phase_d/label_noise_auroc.csv,analysis == 'coppie della stessa giornata' & model == 'random_forest';;analysis == 'tutti' & model == 'random_forest',auc,diff,3
T94.04,6bis,"+0,009",analytics/phase_d/label_noise_auroc.csv,analysis == 'coppie della stessa giornata' & model == 'lr_penalized';;analysis == 'tutti' & model == 'lr_penalized',auc,diff,3
T97.01,6bis,425,analytics/phase_d/acr_label_sensitivity.csv,scale == 'osservata' & threshold == 30.0 & grey_zone == '' & model == 'lr_penalized',positives,value,0
T97.02,6bis,293,analytics/phase_d/acr_label_sensitivity.csv,scale == 'osservata' & threshold == 53.04 & grey_zone == '' & model == 'lr_penalized',positives,value,0
T98.01,6bis,"53,04",analytics/phase_d/acr_label_sensitivity.csv,scale == 'alternativa' & threshold == 53.04 & grey_zone == '' & model == 'lr_penalized',threshold,value,2
T98.02,6bis,"0,696",analytics/phase_d/acr_label_sensitivity.csv,scale == 'osservata' & threshold == 30.0 & grey_zone == '',auc,min,3
T98.03,6bis,"0,710",analytics/phase_d/acr_label_sensitivity.csv,scale == 'osservata' & threshold == 30.0 & grey_zone == '',auc,max,3
T98.04,6bis,"0,705",analytics/phase_d/acr_label_sensitivity.csv,scale == 'osservata' & threshold == 53.04 & grey_zone == '',auc,min,3
T98.05,6bis,"0,720",analytics/phase_d/acr_label_sensitivity.csv,scale == 'osservata' & threshold == 53.04 & grey_zone == '',auc,max,3
T98.06,6bis,"+0,003",analytics/phase_d/acr_label_sensitivity.csv,scale == 'osservata' & threshold == 53.04 & grey_zone == '' & model == 'random_forest';;scale == 'osservata' & threshold == 30.0 & grey_zone == '' & model == 'random_forest',auc,diff,3
T98.07,6bis,"+0,016",analytics/phase_d/acr_label_sensitivity.csv,scale == 'osservata' & threshold == 53.04 & grey_zone == '' & model == 'lr_penalized';;scale == 'osservata' & threshold == 30.0 & grey_zone == '' & model == 'lr_penalized',auc,diff,3
T98.08,6bis,"0,722",analytics/phase_d/acr_label_sensitivity.csv,scale == 'alternativa' & grey_zone != '',auc,min,3
T98.09,6bis,"0,755",analytics/phase_d/acr_label_sensitivity.csv,scale == 'alternativa' & grey_zone != '',auc,max,3
T101.01,6bis,"+0,039",analytics/phase_d/comparison.csv,candidate != '',high,max,3
T101.02,6bis,"+0,032",analytics/phase_d/comparison.csv,candidate == 'tabpfn',high,value,3
T105.01,6bis,"0,009",analytics/phase_d/label_noise_auroc.csv,analysis == 'casi netti (zona grigia 17.7-35.4 esclusa)' & model == 'lr_penalized';;analysis == 'tutti' & model == 'lr_penalized',auc,diff,3
T105.02,6bis,"0,016",analytics/phase_d/acr_label_sensitivity.csv,scale == 'osservata' & threshold == 53.04 & grey_zone == '' & model == 'lr_penalized';;scale == 'osservata' & threshold == 30.0 & grey_zone == '' & model == 'lr_penalized',auc,diff,3
T105.03,6bis,"0,67",analytics/phase_d/label_quality.csv,analysis == 'componente: solo albuminuria',auc,min,2
T105.04,6bis,"0,69",analytics/phase_d/label_quality.csv,analysis == 'componente: solo albuminuria',auc,max,2
T105.05,6bis,"0,80",analytics/phase_d/label_quality.csv,analysis == 'componente: eGFR < 60',auc,min,2
T105.06,6bis,"0,86",analytics/phase_d/label_quality.csv,analysis == 'componente: eGFR < 60',auc,max,2
T106.01,7,"0,933",analytics/phase_d/discrimination.csv,model == 'positive_control',auc,value,3
T106.02,7,"0,795",analytics/phase_d/semi_synthetic_control.csv,target_auroc == 0.75,oof_auc,value,3
T106.03,7,"0,831",analytics/phase_d/semi_synthetic_control.csv,target_auroc == 0.8,oof_auc,value,3
T106.04,7,"0,70",analytics/phase_a/evaluation/q1_discrimination.csv,feature_set == 'main' & model == 'random_forest',auc,value,2
T106.05,7,1.451,analytics/test/run_1/q1_discrimination.csv,technique == 'fase_a' & model == 'lr_scored' & group == 'tutti',n,value,0
T110.01,7,"−0,012",analytics/phase_a/evaluation/comparison_sets.csv,metric == 'auc' & model != 'dummy',difference,min,3
T110.02,7,"+0,001",analytics/phase_a/evaluation/comparison_sets.csv,metric == 'auc' & model != 'dummy',difference,max,3
T110.03,7,"0,23",analytics/phase_a/evaluation/comparison_sets.csv,metric == 'auc' & model != 'dummy',p_value,min,2
T111.01,7,2%,analytics/phase_b/evaluation/naive.csv,technique == 'none' & model != 'dummy' & threshold == 0.5,recall,mean,0
T111.02,7,60%,analytics/phase_b/evaluation/naive.csv,technique == 'undersampling' & model != 'dummy' & threshold == 0.5,recall,mean,0
T111.03,7,71,analytics/quality/evaluation/operating_points.csv,group == 'tutti' & model == 'lr_penalized' & threshold == 0.07,severe_n,value,0
T111.04,7,"1,00",analytics/phase_b/evaluation/primary_comparison.csv,confirmatory == True,p_holm,min,2
T112.01,7,"0,44",analytics/phase_c/evaluation/q1_discrimination.csv,technique == 'none' & model == 'random_forest' & group == 'diabetici',pr_auc,value,2
T112.02,7,"0,19",analytics/phase_c/evaluation/q1_discrimination.csv,technique == 'none' & model == 'random_forest' & group == 'non diabetici',pr_auc,value,2
T113.01,7,"1,02",analytics/quality/evaluation/calibration.csv,group == 'tutti',slope,mean,2
T113.02,7,"1,31",analytics/quality/evaluation/calibration.csv,group == 'tutti' & model == 'random_forest',slope,value,2
T113.03,7,"0,86",analytics/quality/evaluation/calibration.csv,group == 'tutti' & model == 'xgboost',slope,value,2
T113.04,7,"0,703",analytics/phase_d/discrimination.csv,model == 'tri_ensemble_top21',auc,value,3
T113.05,7,"0,716",analytics/phase_d/discrimination.csv,model == 'tri_ensemble_leaky',auc,value,3
T114.01,8,"0,70",analytics/phase_a/evaluation/q1_discrimination.csv,feature_set == 'main' & model == 'random_forest',auc,value,2
T114.02,8,"0,71",analytics/test/run_1/q1_discrimination.csv,technique == 'fase_a' & group == 'tutti' & model != 'dummy',auc,min,2
T114.03,8,"0,74",analytics/test/run_1/q1_discrimination.csv,technique == 'fase_a' & group == 'tutti' & model != 'dummy',auc,max,2
T114.04,8,"0,80",analytics/phase_d/label_quality.csv,analysis == 'componente: eGFR < 60',auc,min,2
T114.05,8,"0,86",analytics/phase_d/label_quality.csv,analysis == 'componente: eGFR < 60',auc,max,2
T114.06,8,"0,67",analytics/phase_d/label_quality.csv,analysis == 'componente: solo albuminuria',auc,min,2
T114.07,8,"0,69",analytics/phase_d/label_quality.csv,analysis == 'componente: solo albuminuria',auc,max,2
T114.08,8,"0,692",analytics/phase_d/discrimination.csv,role == 'candidato',auc,min,3
T114.09,8,"0,710",analytics/phase_d/discrimination.csv,role == 'candidato',auc,max,3
T114.10,8,"0,795",analytics/phase_d/semi_synthetic_control.csv,target_auroc == 0.75,oof_auc,value,3
T114.11,8,"0,831",analytics/phase_d/semi_synthetic_control.csv,target_auroc == 0.8,oof_auc,value,3
T114.12,8,"0,009",analytics/phase_d/label_noise_auroc.csv,analysis == 'casi netti (zona grigia 17.7-35.4 esclusa)' & model == 'lr_penalized';;analysis == 'tutti' & model == 'lr_penalized',auc,diff,3
T114.13,8,"0,016",analytics/phase_d/acr_label_sensitivity.csv,scale == 'osservata' & threshold == 53.04 & grey_zone == '' & model == 'lr_penalized';;scale == 'osservata' & threshold == 30.0 & grey_zone == '' & model == 'lr_penalized',auc,diff,3
T115.01,8,142,analytics/test/run_1/q1_discrimination.csv,technique == 'fase_a' & model == 'lr_scored' & group == 'tutti',positives,value,0
T115.02,8,23,analytics/test/run_1/primary_comparison.csv,model == 'lr_scored' & technique == 'class_weight',severe_n,value,0
T115.03,8,88,analytics/test/run_1/q1_discrimination.csv,technique == 'fase_a' & model == 'lr_scored' & group == 'diabetici',n,value,0
T116.01,8,"0,743",analytics/test/run_1/q1_discrimination.csv,technique == 'fase_a' & model == 'random_forest' & group == 'tutti',auc,value,3
T116.02,8,"0,723",analytics/test/run_1/q1_discrimination.csv,technique == 'fase_a' & model == 'lr_scored' & group == 'tutti',auc,value,3
T118.01,8,"+0,003",analytics/phase_d/acr_label_sensitivity.csv,scale == 'osservata' & threshold == 53.04 & grey_zone == '' & model == 'random_forest';;scale == 'osservata' & threshold == 30.0 & grey_zone == '' & model == 'random_forest',auc,diff,3
T118.02,8,"+0,016",analytics/phase_d/acr_label_sensitivity.csv,scale == 'osservata' & threshold == 53.04 & grey_zone == '' & model == 'lr_penalized';;scale == 'osservata' & threshold == 30.0 & grey_zone == '' & model == 'lr_penalized',auc,diff,3
T121.01,9bis,"0,086",analytics/phase_a/evaluation/q2_levels.csv,feature_set == 'main' & model == 'xgboost' & level == 'basso',mean_probability,value,3
T121.05,9bis,3.925,analytics/phase_a/evaluation/q2_levels.csv,feature_set == 'main' & model == 'xgboost' & level == 'basso',n,value,0
T121.02,9bis,"0,142",analytics/phase_a/evaluation/q2_levels.csv,feature_set == 'main' & model == 'xgboost' & level == 'moderato',mean_probability,value,3
T121.06,9bis,354,analytics/phase_a/evaluation/q2_levels.csv,feature_set == 'main' & model == 'xgboost' & level == 'moderato',n,value,0
T121.03,9bis,"0,194",analytics/phase_a/evaluation/q2_levels.csv,feature_set == 'main' & model == 'xgboost' & level == 'alto',mean_probability,value,3
T121.07,9bis,50,analytics/phase_a/evaluation/q2_levels.csv,feature_set == 'main' & model == 'xgboost' & level == 'alto',n,value,0
T121.04,9bis,"0,284",analytics/phase_a/evaluation/q2_levels.csv,feature_set == 'main' & model == 'xgboost' & level == 'molto alto',mean_probability,value,3
T121.08,9bis,21,analytics/phase_a/evaluation/q2_levels.csv,feature_set == 'main' & model == 'xgboost' & level == 'molto alto',n,value,0
T121.09,9bis,"0,674",analytics/phase_a/evaluation/q2_trend.csv,feature_set == 'main' & model != 'dummy',concordance,min,3
T121.10,9bis,"0,702",analytics/phase_a/evaluation/q2_trend.csv,feature_set == 'main' & model != 'dummy',concordance,max,3
T122.01,9bis,"0,20",analytics/phase_a/evaluation/q4_kappa.csv,feature_set == 'main' & model != 'dummy',kappa,min,2
T122.02,9bis,"0,23",analytics/phase_a/evaluation/q4_kappa.csv,feature_set == 'main' & model != 'dummy',kappa,max,2
